query_no,latency,aqp_std,true_std,true_aggregate,count
0,0.006627205000000025,0.04292024566392785,0.04300845176143178,1205.7611684146811983,565022
1,0.00395103100000016,1.5456935745132656,1.547659080938674,738.8786134979078893,138377
2,0.005784153000000014,3259.303312596684,3264.791516161484,1066,1066
2,0.005784153000000014,10727.214386270693,10730.66191881936,11528,11528
2,0.005784153000000014,1120.4076596114267,1072.3743632705884,115,115
2,0.005784153000000014,5187.659442719527,5248.086315505871,2755,2755
2,0.005784153000000014,4626.986670158092,4615.783664666273,2131,2131
2,0.005784153000000014,6761.690969956664,6824.82852531842,4660,4660
2,0.005784153000000014,2341.872736105986,2325.877752376509,541,541
2,0.005784153000000014,11433.91740083643,11494.562501461289,13230,13230
2,0.005784153000000014,6798.42523460859,6763.065889372956,4576,4576
2,0.005784153000000014,2867.164125361903,2891.2455973161464,836,836
2,0.005784153000000014,4463.598581873408,4516.175195893092,2040,2040
2,0.005784153000000014,2621.734293216509,2664.487924536345,710,710
2,0.005784153000000014,4199.570308289773,4139.693491552243,1714,1714
2,0.005784153000000014,7313.214622395575,7308.313188691355,5344,5344
2,0.005784153000000014,1434.9321309900806,1315.2832664487144,173,173
2,0.005784153000000014,7545.723215595313,7515.853570686433,5652,5652
2,0.005784153000000014,3707.8234998213397,3648.0444677936694,1331,1331
2,0.005784153000000014,7899.8218963865975,7911.433171745812,6263,6263
2,0.005784153000000014,3841.636189343147,3831.167573468955,1468,1468
2,0.005784153000000014,1292.1257161223762,1153.2485902874541,133,133
2,0.005784153000000014,9929.942449483231,10017.439691607831,10045,10045
2,0.005784153000000014,9298.588389572727,9253.461790054575,8570,8570
2,0.005784153000000014,1561.337456136749,1593.717504453032,254,254
2,0.005784153000000014,13444.730924159285,13458.481440489488,18146,18146
2,0.005784153000000014,5227.986875479651,5257.599716125221,2765,2765
2,0.005784153000000014,3654.172607848767,3615.0092324916686,1307,1307
3,0.014070215000000275,1131.9555245361205,1048.8030797056233,110,110
3,0.014070215000000275,3727.2748383739545,3675.346895056302,1351,1351
3,0.014070215000000275,389.10064192506195,360.55489318548985,13,13
3,0.014070215000000275,1801.8059928849593,1791.61853054717,321,321
3,0.014070215000000275,1607.0294589007547,1513.2572679488442,229,229
3,0.014070215000000275,2348.697875316457,2370.5873019148653,562,562
3,0.014070215000000275,813.3118263120834,774.59434544799,60,60
3,0.014070215000000275,3973.1007208050664,3930.345147057698,1545,1545
3,0.014070215000000275,2361.4624477389543,2278.0980310337836,519,519
3,0.014070215000000275,995.7567750433687,1044.0249609085024,109,109
3,0.014070215000000275,1550.2700136670603,1539.4621888828578,237,237
3,0.014070215000000275,910.5147235157851,989.9446428967632,98,98
3,0.014070215000000275,1458.5552216409662,1378.3917803005065,190,190
3,0.014070215000000275,2540.3605775519004,2557.258744046054,654,654
3,0.014070215000000275,498.33111960743906,479.58260081032967,23,23
3,0.014070215000000275,2621.1630622750386,2596.0635053865685,674,674
3,0.014070215000000275,1287.7465083962782,1341.6287116784583,180,180
3,0.014070215000000275,2744.2339787816136,2794.528589762502,781,781
3,0.014070215000000275,1334.223245134855,1334.1545322787763,178,178
3,0.014070215000000275,448.73517803817083,412.3102120976389,17,17
3,0.014070215000000275,3450.006873203009,3504.067923999191,1228,1228
3,0.014070215000000275,3230.4795029664037,3195.145937042626,1021,1021
3,0.014070215000000275,542.232592657512,538.5156998639873,29,29
3,0.014070215000000275,4672.861468066003,4668.538058107699,2180,2180
3,0.014070215000000275,1815.8124953397858,1824.7983754376812,333,333
3,0.014070215000000275,1269.105237963301,1322.8640803196677,175,175
4,0.006347043999999968,756.4181856904667,734.8449387455832,54,54
4,0.006347043999999968,755.1141932497655,655.7424425794017,43,43
4,0.006347043999999968,763.5148612675753,848.5250827170638,72,72
4,0.006347043999999968,758.4014003151142,761.5751020089878,58,58
4,0.006347043999999968,767.2367375678582,848.5250827170638,72,72
4,0.006347043999999968,774.9796994821315,799.997439995904,64,64
4,0.006347043999999968,791.775280995631,888.8159308878301,79,79
4,0.006347043999999968,755.424419372334,812.4011595264989,66,66
4,0.006347043999999968,835.1715691865953,787.3983464549567,62,62
4,0.006347043999999968,872.4912913562953,905.534801098224,82,82
4,0.006347043999999968,874.422511845198,883.1726422393302,78,78
4,0.006347043999999968,875.6023684775147,894.4236132839965,80,80
4,0.006347043999999968,893.234039100819,921.950527414568,85,85
4,0.006347043999999968,866.8109653986336,836.6570982188581,70,70
4,0.006347043999999968,834.6229776258566,812.4011595264989,66,66
4,0.006347043999999968,831.7090478000423,793.7228930804504,63,63
4,0.006347043999999968,809.2937690087257,793.7228930804504,63,63
4,0.006347043999999968,811.7401426974142,806.2231545918289,65,65
4,0.006347043999999968,827.1737361787281,860.2293438380256,74,74
4,0.006347043999999968,788.9115958706808,848.5250827170638,72,72
4,0.006347043999999968,791.3045993620132,748.3293820237182,56,56
4,0.006347043999999968,778.4876840810061,871.7764759386433,76,76
5,0.012752691000000205,5851591.866973638,4643292.778589345,2895983.3,3889
5,0.012752691000000205,5830260.767057335,4538117.14772072,2839108.1,3913
5,0.012752691000000205,5900323.118997452,4577305.514083119,2870203.6,3931
5,0.012752691000000205,5860717.639055459,4562360.63855827,2865557.6,3944
5,0.012752691000000205,5942153.687463815,4655070.264698588,2975261.2,4084
5,0.012752691000000205,5999125.977125654,4767836.498489524,3057402.2,4111
5,0.012752691000000205,6123710.343883999,4841675.730015313,3183845.0,4323
5,0.012752691000000205,5841584.005206797,4552404.118085631,2809926.2,3809
