query_no,latency,aqp_std,aqp_aggregate,true_std,true_aggregate,count,relative_confidence_interval_error
0,0.0022358112037181854,0.07059752174973255,1205.769655778904,0.07140082463069583,1205.842240297056,565550,6.661757683703208e-07
1,0.0014041503891348839,2.5424396821937307,735.8754227171062,2.54325423367241,735.8001190087442,137805,1.107028196430041e-06
2,0.005408529192209244,5361.010129236398,106241.86845070621,5349.917873798299,105800.0,1058,0.00010484173381945764
2,0.005408529192209244,17644.47781249974,1152058.5568572034,17611.327147775693,1147700.0,11477,2.8884433845121358e-05
2,0.005408529192209244,1842.8836582460226,12553.290826193832,1875.4094930546935,13000.0,130,0.002501987292974683
2,0.005408529192209244,8532.834213976515,269190.57030377554,8512.466818667712,267900.0,2679,7.602611164167107e-05
2,0.005408529192209244,7610.62105226345,214135.9117886543,7504.5111053367755,208200.0,2082,0.0005096539237592442
2,0.005408529192209244,11121.853446596593,457413.88039998565,11059.673670369422,452300.0,4523,0.00013747463238375152
2,0.005408529192209244,3851.989905672759,54846.68735518439,3786.637072594816,53000.0,530,0.0012330723222253425
2,0.005408529192209244,18806.88635693188,1309058.3477203012,18866.86873880156,1317400.0,13174,4.5530880423320396e-05
2,0.005408529192209244,11182.27518277953,462399.67548974237,11188.459816982513,462900.0,4629,1.3360626923706942e-05
2,0.005408529192209244,4716.006595287967,82213.0603732217,4767.038491866859,84000.0,840,0.0006075225783201425
2,0.005408529192209244,7341.874908600788,199276.83524691281,7305.466473938401,197300.0,1973,0.0001845333738590353
2,0.005408529192209244,4312.315471769936,68739.6322969828,4209.530719515486,65500.0,655,0.001569232858846562
2,0.005408529192209244,6907.592452096171,176395.02372191765,6825.059382511429,172200.0,1722,0.00047928611837828975
2,0.005408529192209244,12029.017832262325,535117.4389364286,11988.4613307709,531500.0,5315,7.630574128207821e-05
2,0.005408529192209244,2360.2239347514987,20590.726194039937,2394.917644666988,21200.0,212,0.0016364957507306278
2,0.005408529192209244,12411.455673632561,569703.9591463065,12593.135339946708,586500.0,5865,0.0003097692520275307
2,0.005408529192209244,6098.751000909222,137498.45735482904,5959.792049998872,131300.0,1313,0.0010583316901016742
2,0.005408529192209244,12993.888921606704,624461.8222238346,12975.718939922224,622700.0,6227,2.9179350705764176e-05
2,0.005408529192209244,6318.8505483108165,147603.47344060792,6275.904485622873,145600.0,1456,0.00029495922175785434
2,0.005408529192209244,2125.331209773427,16696.167431595994,2261.2785064035356,18900.0,189,0.0071929786576777075
2,0.005408529192209244,16333.098502580426,987011.7870277601,16254.487265669844,977500.0,9775,8.042070272182228e-05
2,0.005408529192209244,15294.626416463405,865386.3726080392,15384.731310309842,875600.0,8756,0.00010290645711105224
2,0.005408529192209244,2568.1396036864826,24378.34083765556,2537.526387634948,23800.0,238,0.0012862695819972451
2,0.005408529192209244,22114.339095345,1810887.2906681905,22215.635950156604,1827500.0,18275,5.542919551934563e-05
2,0.005408529192209244,8599.166112169332,273393.2134121968,8566.299090706609,271300.0,2713,0.00012114641158394265
2,0.005408529192209244,6010.504235351284,133547.60988773432,5934.777950710263,130200.0,1302,0.0005816150894087585
3,0.012627767398953438,1861.8779692673725,12813.397282516808,1824.2197006858687,12300.0,123,0.0030616478521547775
3,0.012627767398953438,6130.745207340893,138945.0834246812,6061.046992127452,135800.0,1358,0.0005132416436924998
3,0.012627767398953438,640.0056339006358,1513.9953877040655,520.1481278012984,1000.0,10,0.11985750609933735
3,0.012627767398953438,2963.670224076428,32466.10243401614,2909.997586241609,31300.0,313,0.001714780761495813
3,0.012627767398953438,2643.2953244493947,25826.103821995363,2672.5355289042113,26400.0,264,0.0011075835020763882
3,0.012627767398953438,3863.2161208884354,55166.860553441664,3790.207498740508,53100.0,531,0.0013749269707707594
3,0.012627767398953438,1337.762251900882,6614.80502492606,1366.313325058879,6900.0,69,0.0041378366895647905
3,0.012627767398953438,6535.087767497462,157880.22016119692,6424.974145892534,152600.0,1526,0.0007215833656941552
3,0.012627767398953438,3884.2117127341626,55768.159085823376,4005.361566842088,59300.0,593,0.0020429992261032956
3,0.012627767398953438,1637.8537513315714,9915.413868327996,1661.2122605805753,10200.0,102,0.0022900499263729286
3,0.012627767398953438,2549.935507444454,24033.948797830642,2532.189964938621,23700.0,237,0.0007487570677566614
3,0.012627767398953438,1497.6447993416787,8290.439350486291,1385.9733813328419,7100.0,71,0.015728368733638982
3,0.012627767398953438,2399.0799773216277,21274.28595227365,2411.8029278029685,21500.0,215,0.0005917651386670154
3,0.012627767398953438,4178.469286836902,64538.483959428835,4199.880139165591,65200.0,652,0.00032838730565473365
3,0.012627767398953438,819.671544407775,2483.3452148490546,697.8516641386586,1800.0,18,0.06767771126062017
3,0.012627767398953438,4311.375892182157,68709.67912790818,4422.6309937734595,72300.0,723,0.001538798085633503
3,0.012627767398953438,2118.12814374184,16583.185707763918,2007.7847695487533,14900.0,149,0.007405595583428651
3,0.012627767398953438,4513.807015255705,75313.8736237971,4587.75440174147,77800.0,778,0.0009504805460895308
3,0.012627767398953438,2194.5746209587487,17801.833591752482,2175.917780477629,17500.0,175,0.0010661051703496924
3,0.012627767398953438,738.0944956887165,2013.6366549230333,822.4257854415767,2500.0,25,0.033732515901144094
3,0.012627767398953438,5674.685667239202,119039.64504141672,5637.942908959773,117500.0,1175,0.00031270432578237386
3,0.012627767398953438,5313.59977169444,104370.87174097722,5360.020527156761,106200.0,1062,0.0004371069252572581
3,0.012627767398953438,891.8821425439633,2940.1704902186398,915.8143211057132,3100.0,31,0.007720057600564514
